"","lang","abrikos","alycha","arba","babochka","baran vzroslyj","barbaris","barsuk","bedro","bereza","bloha","bok","bok (a)","bok (b)","boroda","borozda","braslet","brevno","brevno (b) balka","brov'","bul'on","burdjuk","burka, vojlok","bychok (ot odnogo goda do treh let)","byk (proizvoditel')","cheljust'","cheremsha","cherpak","cherv'","chesnok","chirej, naryv","chlen muzhskoj","chuhta","den'","derevo","desna","detenysh","dno","dom, komnata","doroga","doska","dozhd'","dub","dver'","dym","dyra","ezh","fundament","glaz","gnezdo","gnida","gnoj","god","golen' (a)","golen' (b)","golenische","golos","golos/zvuk","golova","golub'","gora, gornoe pastbische","gorlo","gornyj kozel, tur","goroh","gorst' (dvumja rukami)","gorst' (odnoj ruki)","grabli","grabli (b) borona","greben' dlja shersti","griva loshadi","grjaz' (na odezhde, na tele)","grud'","grusha","guba","gumno","gvozd'","hinkal","hleb","hlebnoe izdelie s nachinkoj","hlev","hmel'noj napitok, buza","holm, kucha","hrjasch","hvost","igla","imja","inej","iva","jabloko","jachmen'","jagnenok (a) do neskol'kih mesjatsev","jagnenok (b) ot nesk mesjatsev do goda","jagnenok do odnogo goda","jagoda shipovnika","jajtso","jama","jarmo","jascheritsa","jazyk","jula","kaban","kadyk","kal","kal zhidkij","kamen'","kameshek","kamysh","kapkan","kaplja","kaplja (a) stekajuschaja","kaplja (b) tochka vody","katok dlja kryshi","kinzhal","kirka","kishka","kishka (a)","kishka (b)","kist' ruki","kizil","kizjak","klesch","klin","kljatva","kljuch","kljuv","klop","klyk","knut","kobyla","kol","kol'tso","koleno","koleso","koljuchee travjanistoe rastenie","koljuchka (ship rastenija)","kollektivnaja rabota","kolos","komar","konets, ostrie","kopyto","kora, kozhura","koren'","korennoj zub","korova","koryto","korzina","kosa","kosa zhenskaja","koshka","kost'","kostochka (ploda)","kosulja, serna","kotel","kover","koza","koza molodaja (do 2-3 let)","kozel","kozjavka","kozlenok","kozlenok (a) do neskol'kih mesjatsev","kozlenok (b) ot nesk. mesjatsev do goda","kraj","krapiva","kremen'","krov'","krylo","krysha (zemljanaja)","kryshka","kukushka","kulak","kuritsa","kuropatka","kust","kuvalda","kuvshin","kuznechik","kuznechnyj meh","ladon'","lapa","lastochka","led","legkoe","les","lestnitsa kamennaja","leto","lipa","lisa","list","litso","ljagushka","ljul'ka","lob","lokot'","lopata","lopata (a) derevjannaja","lopata (b) zheleznaja","lopuh, rastenie s krupnymi list'jami","loshad', kon' (rodovoe nazvanie)","lozhka","lozhka (a) metallicheskaja","lozhka (b) derevjannaja","luk","luk (oruzhie)","luna, mesjats","malina","maslo","med","med', bronza","medved'","mel'nitsa","merka dlja muki","meshok","mesto","metka (na uhe ovtsy), shram","mezha","mjakina","mjaso","mjata","mocha","mogil'nyj kamen'","mogila","mol'","molitva","molnija","moloko","molotil'naja doska","molotok","molozivo","more","most","motok nitok","motyga","mozg golovnoj","muha","muka","mul","muravej","mysh'","naperstok","nebo","nitka","noch'","noga","nogot'","nos","nosha","nosha (b) vjazanka travy ili hvorosta","nosok vjazjanyj","nozh","nozhnitsy","nozhny","oblako","ochag","ogon'","ohapka","okno","olen'","olovo","oreh","oreh (gretskij)","oreh (lesnoj)","osel","osen'","oslenok","ost' (kolosa)","oves","ovtsa molodaja (a) samka","ovtsa molodaja (b) samets","ovtsa molodaja ot odnogo goda do 2-3 let","ovtsa vzroslaja, ovtsematka","ovtsy, melkij rogatyj skot","palas","palets","palka","papaha","pauk","pchela","pech' glinjanaja dlja hleba","pechen'","pen'","pena, puzyri na vode","pero","peschera","pesnja","pesok","petuh","petushinyj greben'","pijavka","pila","pischevod","pjad' bol'shaja","pjad' malaja","pjatka","platok zhenskij","plecho","plesen'","plita kamennaja dlja ukreplenija kraev kryshi","pochka","podborodok","podkova","podmyshka","pojas","pol zemljanoj","pole","poleno, drova","poloska kozhi, remeshok","pomet (a) ovtsy","pomet (b) loshadi","pomet (c) korovy","pomet (d) ptitsy","pomet (e) melkih zhivotnyh","pomet zhivotnyh (obschee)","postel' (mesto dlja span'ja)","posuda (sobir.)","pot","potolok","pricheska muzhskaja, chub","proso","prysch","pshenitsa","ptitsa","ptitsa chernaja (galka, grach, skvorets)","ptitsa dlinnonogaja (zhuravl', tsaplja, aist)","ptitsa hischnaja (orel, sokol, jastreb)","ptitsa hischnaja nochnaja (sova, filin)","pugovitsa","pupok","pyl'","rana","razvaliny","rech', slovo","reka","reka bol'shaja","reka malen'kaja","resnitsa","rodnik","rog","rosa","rot","rozh'","rubashka","ruchej, raspadok","ruka (a)","ruka (b)","rukav","rukavitsa","rukojatka (nozha, sabli)","ryba","sablja","samets","samka","sani","sapog (vojlochnyj, vjazanyj)","scheben', kamennye oskolki","scheka","schenok","schepka","schiptsy dlja uglej","sedlo","sedlo (a) ezdovoe","sedlo (b) guzhevoe","selenie","selenie (b) hutor","selezenka","semja","senoval, saraj","serdtse","serebro, den'gi","serp","serp (a) prjamoj","serp (b) krivoj","set'","sheja","sherst' koz'ja","sherst' ovech'ja","sherst' ovech'ja (a) vesennjaja","sherst' ovech'ja (b) osennjaja","shilo","shkura kozy","shkura krupnokopytnogo","shkura melkokopytnogo","shkura ovtsy","shtany","shumovka","sito","sito (a) dlja muki","sito (b) dlja zerna","skala, skalistyj sklon","skazka","sklon solnechnyj","sklon tenevoj","slepen'","sleza","sliva","sljuna","sljuna (a)","sljuna (b)","smetana","smola","sneg","snop","snovidenie","sobaka","soha","sol'","solntse","solod","soloma","soplja","sornjak","soroka","soshnik","sosok","sosok (a)","sosok (b)","sperma","spina","spitsa vjazal'naja","stena","stog","stog (a) bol'shoj","stog (b) malen'kij","stojachaja voda (ozero, luzha)","stolb opornyj","strela","stremja","stupnja","suka","sunduk","sustav","svad'ba","svet","svinets","svjazka snopov v pole","sychug","syr (brynza)","syr (tvorog)","syvorotka","taburet","tanets","telenok (do odnogo goda)","telka (ot odnogo goda do treh let)","telo","ten'","testo","tkatskij stanok","tmin","tochilo","tochilo (a) ploskoe","tochilo (b) krugloe","tolokno","topkoe mesto","topor","trava","trut","tsep'","tsvetok","tulup, shuba","tuman","tusha","ugol","ugol (a) vnutrennij","ugol (b) vneshnij","ugol' drevesnyj","uho","ular, gornaja indejka","us","utro","uzdechka","v'juk","v'juk (a) tsel'nyj","v'juk (b) dvustoronnij","venik","venik (b) metla","vereteno","verevka","vesch', predmet","vesna","veter","vetka","vilka","vily","vinograd","vlagalische","voda","vol","volk","volos","vorona","vosh'","vydelenija iz glaz","vymja","zad","zagon dlja dojki ovets","zajats","zamok","zastezhka","zastezhka (a) nakidnaja verevochnaja petlja","zastezhka (b) prjazhka","zemlja, pochva","zemlja, razmjakshaja ot dozhdja; zemljanoj rastvor","zemljanika","zerkalo","zerno (sobir.)","zernyshko","zharenoe zerno","zhelch'","zhelezo","zhelob","zhelob (a) dlja zerna na mel'nitse","zhelob (b) dlja vody na mel'nitse","zheludok","zherd'","zherebenok","zherebets","zhila","zhila (a)","zhila (b)","zhir","zhivot","zima","zmeja","zola","zoloto","zub","zver' pushnoj (laska, kunitsa, belka)","zvezda","zvuk"
"1","and","5","4","4","3","NA","NA","3","5","5","3","5","NA","NA","4","5","4","4","NA","5","4","4","5","3","3","5","5","5","3","5","5","4","5","4","4","5","3","4","4 4","5","4","4","NA","4","5","5","3","5","5","NA","3","5","4","NA","5","5","NA","NA","4","3","5","5","NA","4","5","5","5","NA","4","5","5","5","5","5","4","5","5","5","5","5","4","5","4","5","5","4","5","5","5","5","NA","NA","3","5","4","5","4","3","5","4","3","5","5","4","5","4","5","5","NA","5","4","4","5","4","5","NA","NA","4","NA","5","3","5","4","5","5","3","4","4","3","5","4","5","4","4","5","5","5","3","5","5","5","5","5","3","4","5","5","5","3","NA","5","NA","4","5","3","NA","3","5","3","NA","NA","5","5","5","5","4","5","4","3","5","3","3","4","5","5 5 5 4","3","4","5","4","3","5","5","4","5","NA","5","3","5","4","3","5","4","5","NA","4","5","NA","3","NA","5","5","5","3","5","NA","4","4","5","3","4","5 5","5","5","4","5","4","5","5","4","5","5","3","4","NA","4","5","4","5","4","4","4","5","4","3","4","3","3","3","5","4","4","4","5","5","5","NA","4","5","5","4","5 5","4","5","4","5","5","3","5","4","NA","NA","3","NA","3","5","5","3","3","3","3","PL","5 5","5","4","5","3","3","3","4","5","5","4","4","4","4","3","5","3","5","5","5","5","5","4","5","NA","5","4","4","5","NA","4","4","4","5","4","5","5","5","NA","NA","4","5","5","5","5","5","5","NA","5","3","3","PL","3 3","3","5","4","5","4","NA","5","4","NA","NA","5","5","5","5","5","5","4","5","NA","4","5","4","4","3","4","1","4","4 4","5","4","5","3","NA","5","NA","4","5","4","5","4","4","5","4","5","5","NA","NA","4","5","NA","NA","4","4","4","5","5","NA","4","4","5","4","NA","NA","5","5","5","5","3","4","4","5","NA","NA","5","5","4","5","4","3","4","4","5","5","5","5","5","3","5","5","NA","NA","5","5","5","5","NA","5","5","5 4","5","5","5","5","3","4","5 4","5","NA","5","5","5","4","4","4","5","4","3","3 3","5 5 5","5","5","NA","5","NA","4","4","4","5","4","5","5","4","4","5",NA,"5","NA","4","5","5","5","NA","5","NA","4","NA","5","5","5","5","4","4","5","NA","5","5","5","5","5","4","4","3","3","5","3","3","5","4","5","NA","3","PL","5","NA","NA","4","5 5","4","4","5","5","3","5","5","NA","5","5","NA","NA","3","3","5","NA","NA","4","4","NA","3","4","5","4","3 3","5","4"
"2","arch","3","3","4","3","3","4","4","3","3","3","3","NA","NA","3","4","4","NA","4 4 3","4","4","4","3","3","3","4","3","4","3","3","3","4","4","4","3","4","8","4","4","3","4","4","NA","4","4","4","3","3","3","4","4","4","4","NA","NA","4","NA","4","4 4","3","3 4 4 3 4","3","3","4","3","4","4","NA","4","3","4","3","4","3","4","3","3","3","3","3","4","3 3","3","4","3","4","4","NA","4","3","NA","NA","4","3","3","3","4","3","3","3 4","3","4","3","4 3","3","3","NA","4","4","NA","NA","3","4","3","3","NA","3","4","4","3","3","3","4","4","3","3","4","3","3","3","3","3","NA","4","NA","3","3","3","3","3","3","3","4","3","4","3 4","4","4","3","4","3","3","3 3 4","3","3","4","3","4","4","NA","NA","4","3","3","3","4","4","4","3","3","3","3","3","4","3 4 3 4","3","4","4","3","4","3","3","4","4","4","3","3","4","4","3","3","4","4","NA","4 4","3","3 4","3","4","NA","NA","4","4","3","3","4","4","4 4","3","4","4 3 3 3 3 3","3 3","4","4","3","4","4","3","4","3","4","3","3","4","4","4","4","3","3","3","3","3","4","3","4","3","3","3","3","4","3","4","4","3","3","4","3","4","4","4","3",NA,"3","4","4","4","3","4","4","NA","NA","3","4","4","NA","3","NA","NA","3 3 4","3","4","3","3","4","4","3","3","3","4","NA 4","3","4","4","4","4","3","3","4","3","4","4","NA","3","3 3 3","4","4","4","3","3","4","NA","4","4","4","4","4","4","NA","NA","NA","NA","NA","3","4","4","PL","3","3","3","NA","4","3","3","3 3 3","3","3 4 3","4","4","4","4","4","4","NA","NA","4","3","3","3","4","NA","3","4","4","NA","4","4","4","3","4","NA","NA","NA","4","3","4","4","NA","3","NA","4","4","4","4","4","4","4","4","4","4","NA","NA","4","4","4","4","NA","NA","4","3","3","NA","4","3","3","3","NA","NA","4","3","4","4","3","4","3","4","NA","NA","4","3","3","3","4","3","4","4","3","3","3","3","4","4","4","3","NA","NA","4","4","3","3","3","NA","NA","3","4","4","4","3","3","3","NA","4","4","4","3","3","4","4","3","3","4 3","4","4","3","3","4","PL","4","NA","4","4","4","3","4","4","NA","4","4","3 3","3","3","3","NA","NA","4","4","3","3","NA","4","4","NA","NA","4","NA","4","3","4","4","3 3","4","4 3","4","3","3","4","3","3","4","3","3","4","4","NA","3","4","4","NA","4","4","4","4","3","4","3","3","3","3","4","NA","3","3","4","3","4","NA","NA","3","3","4","4 3","4","3","4","4","4","4 4","3","NA"
"3","bezhh","4","4","4","3","3","5","3","4","3","3","3","NA","NA","3","5","3","3","4","4","5","4","5","3","3","4","4","3 3","3","5","3","4","3","4","3","3","3","5","4","4","4","4","3","5","4","4 4","3","3","4","5","3","4 4","4","4","NA","5","4","NA","4","3","3","3","3","5","3","3","NA","4","5","5","4","5","5","3","5","3","3","3","NA","4","3","4","4","4","3","4","PL","3","3","4","NA","NA","3","5","3","4 4","4","3","3","3","3","4","4","4","5","NA","3","4","NA","NA","4","4","4","3","NA","4","3","4","4","4","3","3","4","4","3","3","5","4","3","3","3","3","5","5","4 5","4","3","3","4","5","4","3","5","3","3","3","3","4","3","4","3","3 3","3","3 3 3","3","NA","3 3","4","NA","3","3","3","4","5","3","5","3","3","3","3","3","3","4","4","3 3 3 3","3","3","3","3","3","3","3","4","3","NA","3","3","5","3","3","3","4","5","5","NA","NA","NA","3","3","NA","NA","5","3","3","5","4","4","4","3","5","3 3 3","4","3","4","3","4","4","4","4","5","4","3","4","4","5","3","4","5","3","3","3","3","4","3","4","3","3","3","3","4","4","NA","5","5","3","3","NA","4","4","4","4","4","5","4","5","4","3","4","NA","3","3","3 3","NA","3","4","4","3","3","NA","3","3","3","3","NA","3","3","3","NA","3","3","3","3","4","3","3","3","4","3","3","4","3","NA","5","4","5","NA","5","3","4","4","NA","4","3","3","3","5","NA","NA","NA","NA","3","NA","3","4 4","4","4","4","4","3","3","3","NA","3","3 3 3","3","4 3 4","3","4","4 4","4","4","5","NA","NA","4","NA","5","4","5","4","4","4","4","5","4","4","3","3","4","3","3","4","4","3 3","3","3","4 4","3","NA","4","3","4","4","3","4","3","4","4","3","NA","NA","5","3","4","NA","NA","4","5","NA","3","3","NA","5","NA","3 3","NA","NA","3 4","3","4","4","3","5","4","5","4","NA","4","3","5","4","5","3","4","4","3","3","5","4","4","NA","3","3","NA","NA","4","3","4","4","4 3","NA","NA","3","NA","4","4","3","3","3","3","4","4","4","3","3","4 5","4","5","4","4","3","3","3 3","4","4","3","4","NA","5","4","4","4","4","4","3","5","4","4",NA,"3","3","NA","NA","5","4","NA","3","NA","4","4","NA","NA","3","NA","4","3 4 4","4","NA","4","3","3","3","3","3","4","3","3","4","3","3","5","3","NA","3 3","3","4","NA","NA","3","3","4","5","3","4","3","4","3","4","NA","3 4","3","4","3","3 3 3","3","NA","3","3","5","4","3","3","5","4","4","3 3 3","3","3"
"4","bezht","4","4","4","3","3","5","3","4","3","3","3","NA","NA","5","4","3","3","4","4","5","4","5","3","3","4","4","3","3","5","3","4","3","4","3","3","3","5","4","4","4","4","3","5","4","4","3","3","4","5","3","4","4","4","NA","4","4","NA","4","3","3","3","3","5","4","3","NA","4","5","5","4","5","5","3","5","3","3 3","3","NA","4","3 3","4","4","4","3","4","4","3","3","4","NA","NA","3","5","3","4","4","3","3","3","3","NA","4","4","5","NA","3","4","NA","3","3","4","4","3","NA","4","3","4","4","4","3","3","4","4","3","3","5","4","3","3","3","4","5","5","4","4","3","3","4","3","4 4","3","NA","3","3","3","3","4","3","4","4","3 3","3","3 3","3","3","3","3","NA","3","3","3","4","3","3","5","3","3","3","3","3","3","4","4","3 3 3 3","3","4 3","3","3","3","3","3","4","3","NA","3","3","5","3","3","3","4","5","5","NA","NA","NA","3","NA","3","3","5","3","3","5","4","4","4","3","5","3 3 3","4","3","4","3","4","4","4","4","5","4","3","4","4","5","3","4","5","3","3","3","3","4","3","4","3","3","3","3","4","4","NA","5","3","3","3","NA","4","4","4","4","4","5","4","5","4","3","4","NA","3","4","3 3","NA","3 3","4","4","3","3","NA","3","3","3","3","NA","3","4","3","NA","3","3","3","3","4","3","3","3","4","3","3","4","3","5","5","4","5","NA","5","3","4","4","NA","4","3","3","3","5","4","NA","NA","NA","3","NA","5","3 4","4","4","4","4","3","3","NA","NA","3","3 3 3 3","3","4","3","4","4","4","4","5","NA","NA","4","NA","5","4","5","4","4","4","4","5","4","4","3","3","4","3","3","4","4","3","3","3","4 4","3","NA","4","3","4","4","3","4","3","4","4","3","NA","NA","5","3","4","NA","4","4","5","3","3","NA","3","5","NA","3","NA","NA","3 4","3","NA","NA","3","5","4","NA","4","5","4","3","5","4","5","3","4","4","3","3","5","4","4","NA","3","3","NA","NA","4","3","4","4","NA","3","3","3","NA","4","4","3","3","3","3","4","4","4","3","3","4 5","4","5","4","4","3","3","3","4","4","3","4","NA","5","4","4","4","4","4","3","4","3","4",NA,"3","3","NA","NA","5","4","NA","3","NA","5","4","NA","NA","3","NA","4","4","4","NA","4","3","3","3","3","3","4","3","3","4","3","3","5","3","NA","3 3","3","4","NA","NA","3","3","4","5","3","4","3","4","3","4","NA","4","3","4","3","3 3 3","3","NA","3","3","5","4","3","3","5","4","4","3 3 3","3","3"
"5","bud","4","3","4","3","3","4","3","4","3","3","4","NA","NA","3","3","3","3","4","4","3","4 4","3 3","3","3","4","3","3","3","3","3","4","4","4","3","3","3","4","3","3","4","4","3","4","4","4","3","4","3","4","3","4","4","NA","4","3","NA","4","3","3","4","3 3","3","3","3","3","3","4","4","3","4","4","3","4","4","4","3","4","3 3","4","NA","4 4","3","4","3","4","3","3","3","4","NA","NA","3","3","3","3 4","4","3","3","3","3","3","4","4","3","NA","3","4","NA","4","4","NA","4","3","NA","4","NA","4","3","3 4","3","3","4","4","3","3","4","3","3","3","3 4","3","4","3","4","3","3","3","3","3","4","3","3","3","NA","3 3","3","3","3","3","3","3","3 3","3","3","3","3","4","3","NA","NA","4","4","3","4","4","4","4","3","3","3","3","3","3","4 3 3 3 3 3","3","4","4","4","3","3","4","3","3","4","3","3","4","3","3","3","4","4","4","NA","NA","3 3","3","3","NA","NA","3","3","3","4","4","3","4","3","3","4 4","4 4 3","4","NA","3","4","3","4","4","3","4","3","3 3","NA","3","4","3","3","3","4","3","3","4","3","4","3","3","3","4","4","3","4","4","3","3","3","NA","4","4","4","4",NA,"3","4","4","4","3","3","3","NA","NA","3","4","3","3","4","3","3","NA","3","NA","4","4","NA","3","3","3","3","4","4","4","4","4","4","3","3","3","3","4","4","4","NA","4","3 4 4","4","4","NA","3","4","4","4","4","4","4","4","4","4","4","4","NA","NA","NA","NA","4","4","4","4","3","4","4","3","3","3","3 3 3","3","3","4","4","4","4","4","3","NA","NA","4","3","4","4","4","4","3","4","4","NA","4","4 4","4","3","4","NA","3","4","4","NA","3","3","4","4","NA","4","4","4","3","4","3","4","4","4","NA","NA","3","3","4","4","3","NA","NA","4","NA","4","4","NA","3","4","3","NA","NA","3","3","4","4","3","4","3","3","NA","NA","4 4","3","4","3","4","3","4","3","3","3","3","4","4","3","3","NA","3","3","3","4","3","3","3 4","NA","NA","3","4","3 3","4","4","3","3","4","4","4","3","PL","3","NA","NA","4","NA","NA","3","3","4","4 4","3","4","4","3","NA","NA","3","4","4","4","4","4","4","3","4","4","3","NA","NA","4","4","NA","4","4","4","4","NA","NA","3","3","4","3","4","4","4","4","3","3","4","3","4","3","3","4","3","3","4","4","3","4","3","3","NA","NA","3","4","4","4","4","3","3","4","4","4","3","NA","3","3","4 4 3","3","3","3","NA","NA","4","3","4","3","4","4","4","3","3","NA"
"6","cham","3","3","3","3","3","5","3","4","4","3","3","NA","NA","5","4","5","5","NA","3","5","5","3","3","3","3","3","4","4","3","4","4","3","3","4","3","3","4","3","3","3","4","4","5","3","3","5","5","3","3","3","5","4","3","3","3","NA","5","4","3","4","3","3","5","5","3","NA","4","5","3","3","3 5","3","5","5","3","3 5","4","4","3","4","3","3","4","3","4","4 5","4","3","3","3","3","NA","3","5","3","4","5","3","3","3","3 5","3","4","4","NA","3","PL","3","NA","NA","4","3","3","NA","4","3","4","NA","4","5","3","5","4","3","5","3","4","3","3","5","5","5","4","4","3","3","3","3","4","3","3","5","3","NA","3","3","3","3","NA","5","3","4","3","3","NA","3","3","3","NA","NA","3","3","5","3","5","3","5","3","3","3","3","5","4","3 4","3","3","3","3","NA","3","4","4","3","5","4","3","5","3","5","4","4","5","NA","3","4","3","3","NA","3","3","3","4","3","5","4","4","3 3","3","5","3 3 3","4","3","4","NA","4","4","3","4","3","5","3","3","NA","5","3","4","5","4","4","5","4","5","3","3","3","3","3","3","3","3","4","4","5","3","4","NA","3","3","PL","3","3","3","4","3","4","3","3","NA","3","NA","3","5","3","5","3","3","NA","NA","3","4","3","3","4","5","3","3","3","5","3","3","4","4","3","3","3","3","3","3","NA","5","5","3","4 4","5 3","3","3","3","5","3","NA","4","3","4","3","5","4","3","4","NA","NA","NA","3","NA","4","3","3","3","5","NA","3","3","3","3 5 5 3","3","3","5","4","4","3","3","NA","4","4","NA","3","3","3","4","3","5","4","NA","3","4","4","4","5","4","1 3","2","3","3","4","5","3","4","3","4","NA","NA","4","3","3","4","3","4","3","NA","3","3","5","5","4","NA","4","4","5","3","5","NA","3","4","4","5","NA","NA","5","3","3","3","3","5","3","4","NA","NA","5","3","5","3","5","3","4","4","3","3","3","3","3","3","3","3","NA","NA","3","5","3","4","3","NA","NA","3","3","4","3","3","3","3","NA","3","4","3","3","5","5 5","5","5","3","4","3","3","3 3","3","3","4","3","5","NA","NA","4","3","4","4","3","5","4","5 5",NA,"3","3","NA","NA","5","4","3","3 5","NA","5","4","NA","NA","5","3","3","3","3","5","3","4","3","3","4","3 3","4","3","3","4","3","3","3","5","4","5","3","4","5","3","3","4","3","5","5","3","5","3","3","4","NA","3","3","4","NA","3","3 3","NA","3","3","3","4","5","4","4","3","5","3","3","NA"
"7","chamg","3","NA","3","3","NA","3","3","4","4","3","3","NA","NA","4","4","5","NA","3","5","5","4","3","3","3","3","3","4","3","4","3","3","3","3","4","3","3","5","3","3","3","4","NA","5","3","3","3","5","3","3","3","4","4","NA","3","3","NA","5","4","3","5","3","3","5","5","3","4","NA","5","5","3","3","3","5","5","3","3","4","3","3","4","3","3","4","3","4","4","4","3","3","3","3","NA","3","5","3","4","3","3","5","3","3","4","4","4","4","3","3","4","NA","NA","5","3","4","NA","4","3","4","NA","4","3","3","4","4","3","NA","3","4","3","3","4","5","5","4","4","3","3","3","5","5","3","3","5","3","5 4","3","3","3","3","4","4","3","4","3","3","NA","3","3","NA","3","3","3","5","5","3","5","3","5","3","3","3","3","5","4","3 4 3","3","3","3","3","3","3","4","4","3","5","NA","3","5","3","3","4","4","5","NA","3","3","3","3","NA","3","3","5","3","3","NA","4","4","3","3","5","3 3 3","4","3","4","5","3","4","3","4","3","5","4","3","4","5","3","4","5","4","5","5","4","5","3","3","3","3","3","3","4","3","4","4","5","3","4 3","NA","3","3","4","4","3","5","4","5","4","3","3","NA","3","NA","3","5","3","5","3","3","NA","NA","3","4","3","3","4","5","3","3","3","4","3","3 4","4","4","3","4","3","3","3","3","3","5","5","3","4 4","3","3","5","3","3","3","NA","4","3","4","3","5","3","3","4","NA","NA","NA","3","4","4","4","5","3","3","NA","3","3","3","5 5 3 3","3","5","5","4","4","3","NA","NA","4","4","4","3","3","3","4","NA","5","4","NA","5","4","4","3","3","4","1 3","NA","3","3","NA","5","3","4","3","4","NA","NA","4","3","PL","4","3","4","3","3","NA","NA","3","3","4","NA","4","4","4","3","3","NA","4","4","4","5","NA","NA","5","3","3","3","3","5","3","4","NA","NA","4","3","5","3","5","3","4","4","3","3","3","3","3","3","5","NA","3","3","3","3 3 5","3","4","3 3","NA","NA","3 5","3","3","3","3","3","3","4","4","4","3","5","4","5","5","5","3","4","3","3","3 3 3","3","3","3","3","NA","5","3","4","3","4","4","5","5","4","4",NA,"3","3","NA","NA","5","4","3","3","NA","3 4","NA","NA","4","5","3","3","5","4","5","3","4","3","3","4","3 3","4","3","3","4","3","3","3","5","4","3 3","3","4","3","NA","NA","4","3","4","5","3","3","3","3","4","3","NA","NA","3","4","3","3","NA","3","3","3","4","5","3","4","3","5","3 3","3","NA"
